기준연월,시군코드,시군명,총인구수,세대수,세대당인구수,남성여성비율,남성비율,남성인구수,여성인구수
2017   ,4111 ,수원시,1202628,483558,2.49,1.02,50.38,605835,596793
2017   ,4113 ,성남시,967510,396403,2.44,0.98,49.53,479225,488285
2017   ,4183 ,양평군,115105,53186,2.16,1.02,50.37,57981,57124
2017   ,4182 ,가평군,62973,29840,2.11,1.05,51.25,32276,30697
2017   ,4180 ,연천군,45431,21585,2.1,1.1,52.37,23790,21641
2017   ,4167 ,여주시,111984,48892,2.29,1.02,50.57,56629,55355
2017   ,4165 ,포천시,152925,68779,2.22,1.11,52.56,80375,72550
2017   ,4163 ,양주시,212146,85089,2.49,1.03,50.74,107650,104496
2017   ,4161 ,광주시,345947,140112,2.47,1.05,51.31,177521,168426
2017   ,4159 ,화성시,691086,269782,2.56,1.07,51.71,357381,333705
2017   ,4157 ,김포시,392092,152052,2.58,1.01,50.19,196801,195291
2017   ,4155 ,안성시,182786,77456,2.36,1.05,51.19,93574,89212
2017   ,4150 ,이천시,213142,87116,2.45,1.04,51.05,108815,104327
2017   ,4148 ,파주시,437848,180250,2.43,1.03,50.77,222312,215536
2017   ,4146 ,용인시,1004081,371685,2.7,0.99,49.69,498923,505158
2017   ,4145 ,하남시,232487,93741,2.48,1.01,50.28,116889,115598
2017   ,4143 ,의왕시,155767,59201,2.63,1,49.91,77736,78031
2017   ,4141 ,군포시,281205,106645,2.64,0.99,49.68,139692,141513
2017   ,4139 ,시흥시,419664,167802,2.5,1.1,52.41,219949,199715
2017   ,4137 ,오산시,213437,85445,2.5,1.06,51.36,109620,103817
2017   ,4136 ,남양주시,665321,255594,2.6,1,49.92,332152,333169
2017   ,4131 ,구리시,200042,77306,2.59,0.99,49.68,99390,100652
2017   ,4129 ,과천시,57527,20903,2.75,0.95,48.82,28085,29442
2017   ,4128 ,고양시,1041983,408816,2.55,0.96,49.1,511564,530419
2017   ,4127 ,안산시,677710,278240,2.44,1.05,51.29,347585,330125
2017   ,4125 ,동두천시,97071,42420,2.29,0.99,49.8,48344,48727
2017   ,4122 ,평택시,481530,204252,2.36,1.05,51.22,246618,234912
2017   ,4121 ,광명시,332790,127168,2.62,0.98,49.54,164878,167912
2017   ,4119 ,부천시,850329,335384,2.54,0.99,49.87,424038,426291
2017   ,4117 ,안양시,587764,223172,2.63,0.99,49.64,291751,296013
2017   ,4115 ,의정부시,441584,179505,2.46,0.97,49.36,217944,223640
2016   ,4111 ,수원시,1194041,472194,2.53,1.01,50.35,601152,592889
2016   ,4183 ,양평군,111367,50544,2.2,1.02,50.54,56285,55082
2016   ,4180 ,연천군,45907,21656,2.12,1.1,52.48,24090,21817
2016   ,4167 ,여주시,111563,47889,2.33,1.02,50.59,56445,55118
2016   ,4165 ,포천시,154763,68354,2.26,1.11,52.53,81291,73472
2016   ,4163 ,양주시,205513,80790,2.54,1.03,50.72,104235,101278
2016   ,4161 ,광주시,327723,131303,2.5,1.06,51.37,168345,159378
2016   ,4159 ,화성시,640890,245921,2.61,1.07,51.63,330923,309967
2016   ,4157 ,김포시,363443,139498,2.61,1.01,50.24,182597,180846
2016   ,4155 ,안성시,182896,76291,2.4,1.04,51.06,93389,89507
2016   ,4150 ,이천시,210359,84339,2.49,1.04,50.89,107044,103315
2016   ,4148 ,파주시,430155,174861,2.46,1.03,50.74,218252,211903
2016   ,4146 ,용인시,991126,363559,2.73,0.99,49.68,492374,498752
2016   ,4145 ,하남시,211101,84289,2.5,1.02,50.44,106472,104629
2016   ,4143 ,의왕시,156763,58808,2.67,1,49.95,78304,78459
2016   ,4141 ,군포시,284890,106646,2.67,0.99,49.72,141647,143243
2016   ,4139 ,시흥시,402888,159978,2.52,1.1,52.47,211392,191496
2016   ,4137 ,오산시,208656,82581,2.53,1.05,51.31,107056,101600
2016   ,4136 ,남양주시,662154,251335,2.63,1,49.95,330749,331405
2016   ,4131 ,구리시,193763,74499,2.6,0.99,49.75,96397,97366
2016   ,4129 ,과천시,63778,23454,2.72,0.95,48.63,31013,32765
2016   ,4128 ,고양시,1039684,401772,2.59,0.97,49.14,510923,528761
2016   ,4127 ,안산시,689859,280524,2.46,1.05,51.23,353394,336465
2016   ,4125 ,동두천시,98277,42455,2.31,0.99,49.83,48970,49307
2016   ,4122 ,평택시,470832,195970,2.4,1.04,51.05,240345,230487
2016   ,4121 ,광명시,339484,127461,2.66,0.98,49.56,168241,171243
2016   ,4119 ,부천시,851380,331797,2.57,1,49.93,425101,426279
2016   ,4117 ,안양시,597414,225163,2.65,0.99,49.71,296959,300455
2016   ,4115 ,의정부시,438457,175948,2.49,0.97,49.35,216400,222057
2016   ,4113 ,성남시,974580,394087,2.47,0.98,49.6,483374,491206
2016   ,4182 ,가평군,62448,29212,2.14,1.05,51.21,31981,30467

